name,type,nillable,substitutionGroup,annotation_documentation
AreaPolygonRegion,nc:PolygonRegionType,true,nc:AreaRegionAbstract,A polygon area identified by a set of coordinates.
Arrival,nc:ArrivalType,true,,A coming to one location from another.
ArrivalDate,nc:DateType,true,,A date of arrival.
ArrivalEstimatedDate,nc:DateType,true,,An estimated date of arrival.
ArrivalLocation,nc:LocationType,true,,A location of arrival.
Assessment,nc:AssessmentType,true,,"An evaluation, appraisal, or assessment of something or someone."
AssessmentAssessor,nc:EntityType,true,,A person who performs an assessment.
AssessmentComment,nc:CommentType,true,,A comment about the assessment.
AssessmentFee,nc:ObligationType,true,,An amount of money charged to perform an assessment.
AssessmentImage,nc:ImageType,true,,A picture of the assessment
AssessmentOutcomeText,nc:TextType,true,,An outcome of an assessment. Examples of outcomes include a plan of action developed or certain tasks performed.
AssessmentPerson,nc:PersonType,true,,A person who undergoes an assessment.
AssessmentProgram,nc:ProgramType,true,,A program a person attends or undergoes in which an assessment is made.
AssessmentRecommendation,nc:CommentType,true,,A recommendation or result of an assessment.
AssessmentReferral,nc:ReferralType,true,,An order or direction for an assessment to be performed.
AssessmentReport,nc:DocumentType,true,,A report that documents an assessment.
AssessmentScoreText,nc:TextType,true,nc:AssessmentScoreAbstract,An outcome or evaluation score of an assessment.
AssessmentSummaryText,nc:TextType,true,,A summary about the assessment.
AssessmentToolDescriptionText,nc:TextType,true,,A description of the assessment tool.
AssessmentToolName,nc:TextType,true,,A name of the administered assessment tool.
Association,nc:AssociationType,true,,"An association, connection, relationship, or involvement somehow linking people, things, and/or activities together."
AssociationDateRange,nc:DateRangeType,true,,A date range in which an association occurs.
AssociationDescriptionText,nc:TextType,true,,A description of an association.
Attachment,nc:BinaryType,true,,A binary attachment to a report or document.
Azimuth360Value,nc:Degree360Type,true,nc:AzimuthAbstract,An orientation of something with respect to True North.
AzimuthDecimalValue,niem-xs:decimal,true,nc:AzimuthAbstract,An orientation of something with respect to True North.
Base64BinaryObject,niem-xs:base64Binary,true,nc:BinaryObjectAbstract,A base64 binary encoding of data.
Bearing,nc:BearingType,true,,A direction in a polar coordinate system.
BeginTime,niem-xs:time,true,,A start or begin time.
Binary,nc:BinaryType,true,,A digital representation of an object encoded in a binary format.
BinaryAvailableIndicator,niem-xs:boolean,true,,True if a binary is available; false if it is not.
BinaryCaptureDate,nc:DateType,true,,A date on which a binary object is captured or created.
BinaryCapturer,nc:EntityType,true,,An entity which captured or created a binary object.
BinaryCategoryText,nc:TextType,true,nc:BinaryCategoryAbstract,A kind of object that has been encoded.
BinaryDescriptionText,nc:TextType,true,,A description of a binary object.
BinaryFormatStandardName,nc:TextType,true,,A name of a standard or protocol used to classify binary content.
BinaryFormatText,nc:TextType,true,nc:BinaryFormatAbstract,A file format or content type of a binary object.
BinaryHash,nc:BinaryHashType,true,,A hash value representing an object encoded in a binary format.
BinaryHashCode,niem-xs:string,true,,A binary hash value.
BinaryHashFunctionCode,nc:BinaryHashFunctionCodeType,true,nc:BinaryHashFunctionAbstract,A hash function used to generate a hash value representing an object encoded in a binary format.
BinaryHashFunctionText,nc:TextType,true,nc:BinaryHashFunctionAbstract,A hash function used to generate a hash value representing an object encoded in a binary format.
BinaryID,niem-xs:string,true,,An identifier that references a binary object.
BinaryLocation,nc:LocationType,true,,A physical location of a binary object.
BinarySizeValue,nc:NonNegativeDecimalType,true,,A size of a binary object in kilobytes.
BinaryURI,niem-xs:anyURI,true,,A URL or file reference of a binary object.
CalendarDate,nc:DateType,true,,A particular date represented within a calendar system.
Capability,nc:CapabilityType,true,,An ability to complete a task or execute a course of action under specified condition and level of performance.
CapabilityCategoryText,nc:TextType,true,nc:CapabilityCategoryAbstract,A specific kind of capacity or ability.
CapabilityDescriptionText,nc:TextType,true,,A description of a capacity or ability.
CapabilityEndDate,nc:DateType,true,,A date that ends the capability
CapabilityGeneralCategoryText,nc:TextType,true,nc:CapabilityGeneralCategoryAbstract,A general classification of a kind of capacity or ability.
CapabilityIdentification,nc:IdentificationType,true,,An identification for a capability.
CapabilityIsLimitationIndicator,niem-xs:boolean,true,,True if a capability implies an inability to do something; false otherwise.
CapabilityName,nc:TextType,true,,A name for a capability.
CapabilityProficiencyText,nc:TextType,true,,A skillfulness in the command of fundamentals deriving from practice and familiarity.
CapabilityStartDate,nc:DateType,true,,A date for the start of a capability.
Case,nc:CaseType,true,,An aggregation of information about a set of related activities and events.
CaseCategoryText,nc:TextType,true,nc:CaseCategoryAbstract,A kind of case.
CaseDisposition,nc:CaseDispositionType,true,nc:ActivityDisposition,An outcome or processing of a case.
CaseDispositionDecision,nc:CaseDispositionDecisionType,true,,A case disposition occurring as a result of some decision.
CaseDispositionDecisionCategoryText,nc:TextType,true,nc:CaseDispositionDecisionCategoryAbstract,A kind of decision made in a case disposition.
CaseDispositionDecisionText,nc:TextType,true,,A literal language of a decision.
CaseDispositionFinalDate,nc:DateType,true,,A date that all charges in a case were disposed.
CaseDocketID,niem-xs:string,true,,An identifier used to reference a case docket.
CaseFiling,nc:DocumentType,true,,A document or other piece of information filed by someone or something involved in a case.
CaseGeneralCategoryText,nc:TextType,true,nc:CaseGeneralCategoryAbstract,A broadly defined kind of case.
CaseResolutionText,nc:TextType,true,,A result of a case.
CaseSubCategoryText,niem-xs:string,true,nc:CaseSubCategoryAbstract,A more specific classification of a kind of case.
CaseTitleText,nc:TextType,true,,An official name of a case.
CaseTrackingID,niem-xs:string,true,,An identifier used to track a case.
CaseYearDate,niem-xs:gYear,true,,A year a case is opened.
CaveatIssuingAuthorityText,nc:TextType,true,,A source of the caveat information
CaveatReferenceDate,nc:DateType,true,,A date of the caveat information.
CaveatText,nc:TextType,true,,A warning or caution about the information.
Chemical,nc:SubstanceType,true,,A substance used in or produced by a chemical process.
CircularRegion,nc:CircularRegionType,true,,A circular area identified by a center coordinate and a radius.
CircularRegionCenterCoordinate,nc:Location2DGeospatialCoordinateType,true,,A geographic coordinate located at the center of a circular region.
CircularRegionRadiusLengthMeasure,nc:LengthMeasureType,true,,A distance from the center point to the circumference or boundary of a circular region.
Comment,nc:CommentType,true,,"A comment, note, or remark."
CommentAuthorText,nc:TextType,true,,A name or role of the author of a comment.
CommentCreationDate,nc:DateType,true,,A date a comment was created.
CommentText,nc:TextType,true,,"A comment, note, or remark providing additional information."
CommentTitleText,nc:TextType,true,,A name of a comment.
CommercialFacility,nc:FacilityType,true,,A structure used for business purposes.
Computer,nc:DeviceType,true,,A device that processes information based on a set of instructions.
Condition,nc:ConditionType,true,,A requirement or stipulation.
ConditionDisciplinaryAction,nc:DisciplinaryActionType,true,,A corrective action that is specified as part of a condition.
ConditionGroupID,niem-xs:string,true,,An identifier of a group of conditions to which this condition belongs.
ConditionMandatoryIndicator,niem-xs:boolean,true,,True if a condition is strictly required; false otherwise.
ConditionSetDate,nc:DateType,true,,A date a condition was set.
ConditionViolatedIndicator,niem-xs:boolean,true,,True if a condition has been violated; false otherwise.
ConditionViolationDate,nc:DateType,true,,A date a condition was violated.
ConditionViolationText,nc:TextType,true,nc:ConditionViolationAbstract,A violation of a condition.
ConfidencePercent,nc:PercentType,true,,A value that indicates belief that content is accurate or trustworthy.
ConsumptionRateMeasure,nc:ConsumptionRateMeasureType,true,,A measure of a rate of consumption.
ContactEmailID,niem-xs:string,true,nc:ContactMeansAbstract,An electronic mailing address by which a person or organization may be contacted.
ContactEntity,nc:EntityType,true,,An entity that may be contacted by using the given contact information.
ContactEntityDescriptionText,nc:TextType,true,,A description of the entity being contacted.
ContactInformation,nc:ContactInformationType,true,,A set of details about how to contact a person or an organization.
ContactInformationAvailabilityCode,nc:ContactInformationAvailabilityCodeType,true,nc:ContactInformationAvailabilityAbstract,A period of time or a situation in which an entity is available to be contacted with the given contact information.
ContactInformationAvailabilityText,nc:TextType,true,nc:ContactInformationAvailabilityAbstract,A period of time or a situation in which an entity is available to be contacted with the given contact information.
ContactInformationDescriptionText,nc:TextType,true,,A description of the contact information.
ContactInstantMessenger,nc:InstantMessengerType,true,nc:ContactMeansAbstract,A user account for an instant messaging program by which a person or organization may be contacted.
ContactMailingAddress,nc:AddressType,true,nc:ContactMeansAbstract,A postal address by which a person or organization may be contacted.
ContactRadio,nc:ContactRadioType,true,nc:ContactMeansAbstract,A method of contacting a person or organization by messages over a radio.
ContactRadioCallSignID,niem-xs:string,true,,An identifier of a person using a radio.
ContactRadioCategoryText,nc:TextType,true,nc:ContactRadioCategoryAbstract,A kind of wavelength or band of a radio.
ContactRadioChannelText,nc:TextType,true,,A radio channel or frequency within the band.
ContactResponder,nc:PersonType,true,,A third party person who answers a call and connects or directs the caller to the intended person.
ContactTelephoneNumber,nc:TelephoneNumberType,true,nc:ContactMeansAbstract,A telephone number for a telecommunication device by which a person or organization may be contacted.
ContactWebsiteURI,niem-xs:anyURI,true,nc:ContactMeansAbstract,A website address by which a person or organization may be contacted.
Container,nc:ItemType,true,,An item that holds something.
Conveyance,nc:ConveyanceType,true,,A means of transport.
ConveyanceCargoText,nc:TextType,true,,A cargo or set of goods transported by a conveyance.
ConveyanceColorPrimaryText,nc:TextType,true,nc:ItemColorPrimaryAbstract,"A single, upper-most, front-most, or majority color of a conveyance."
ConveyanceColorSecondaryText,nc:TextType,true,nc:ItemColorSecondaryAbstract,A lower-most or rear-most color of a two-tone conveyance or a lesser color of a multi-colored conveyance.
ConveyanceEngineQuantity,niem-xs:nonNegativeInteger,true,,A number of engines on a conveyance.
ConveyanceFuelCategoryText,nc:TextType,true,nc:ConveyanceFuelCategoryAbstract,A kind of fuel or motive power used to propel a conveyance.
ConveyanceMotorizedIndicator,niem-xs:boolean,true,,True if a conveyance is powered by a motor; false otherwise.
ConveyanceOperator,nc:PersonType,true,,A person who operates or drives a conveyance.
ConveyancePassengerQuantity,nc:QuantityType,true,,A number of people in a conveyance excluding the driver.
ConveyanceTowedIndicator,niem-xs:boolean,true,,True if a conveyance is towed; false otherwise.
ConveyedItem,nc:ItemType,true,,An item that is specifically being conveyed.
ConveyedPerson,nc:PersonType,true,,A person being conveyed.
CoordinatingAgency,nc:OrganizationType,true,,"An institution that provides information resources, such as geographic information, field surveys, and telecommunications."
Country,nc:CountryType,true,,"A country, territory, dependency, or other such geopolitical subdivision of a location."
CountryCode,nc:CodeType,true,nc:CountryRepresentation,"A country, territory, dependency, or other such geopolitical subdivision of a location."
CountryName,nc:ProperNameTextType,true,nc:CountryRepresentation,"A name of a country, territory, dependency, or other such geopolitical subdivision of a location."
CourtCase,nc:CaseType,true,,A court case.
CoworkerAssociation,nc:PersonAssociationType,true,,An association between people who work together.
CreatorName,nc:TextType,true,,A name of an entity primarily responsible for generating or producing the information.
Crisis,nc:CrisisType,true,,A crisis.
CrisisDescriptionText,nc:TextType,true,,A description of a crisis.
CrisisIdentification,nc:IdentificationType,true,,An identification of a crisis.
CrisisImage,nc:ImageType,true,,An image of a crisis.
CrisisLocation,nc:LocationType,true,,A location of a crisis.
CrisisName,nc:TextType,true,,A name of a crisis.
CrisisStatus,nc:StatusType,true,,A status of a crisis.
CrisisURLID,niem-xs:anyURI,true,,An URL identifier for information about a crisis.
CrossStreetDescriptionText,nc:TextType,true,,A description of a street intersection.
CrossStreetRelativeLocation,nc:RelativeLocationType,true,,A location of something relative to a street intersection.
CurrencyText,nc:TextType,true,nc:CurrencyAbstract,A unit of money or exchange.
Date,niem-xs:date,true,nc:DateRepresentation,A full date.
DateMarginOfErrorDuration,niem-xs:duration,true,,A subjective assessment of the uncertainty of an estimated point by bounding an elements value with an estimated margin of error.
DateRange,nc:DateRangeType,true,nc:DateRepresentation,A time period measured by a starting and ending point.
DateTime,niem-xs:dateTime,true,nc:DateRepresentation,A full date and time.
DayDate,niem-xs:gDay,true,nc:DateRepresentation,A day date.
Decal,nc:DecalType,true,,"A sticker, or a picture, design, or label made to be transferred from specially prepared paper."
DecalColorText,nc:TextType,true,nc:DecalColorAbstract,A color of a decal.
DecalID,niem-xs:string,true,,An identifier assigned to a decal in a given year.
DecalMonthDate,niem-xs:gMonth,true,,A month displayed on a decal.
DecalPeriodText,nc:TextType,true,nc:DecalPeriodAbstract,A lifespan of a decal for which it is valid.
DecalYearDate,niem-xs:gYear,true,,A year displayed on a decal.
Departure,nc:DepartureType,true,,A leaving from one location to another.
DepartureDate,nc:DateType,true,,A date of departure.
DepartureEstimatedDate,nc:DateType,true,,An estimated date of departure.
DepartureLocation,nc:LocationType,true,,A location of departure.
DescriptionText,nc:TextType,true,,A description of the information.
DeviceCategoryText,nc:TextType,true,nc:DeviceCategoryAbstract,A kind of communication device.
DeviceESNIdentification,nc:IdentificationType,true,,An identification number of a device specified as an electronic serial number assigned to every GSM and UMTS cellular phone by the specific manufacturer.
DeviceElectronicAddress,nc:ElectronicAddressType,true,,An Internet Protocol (IP) address or Uniform Resource Locator (URL) of a device that uniquely identifies a specific site on the Internet or another network.
DeviceIMEIIdentification,nc:IdentificationType,true,,An identification number of a device specified as an International Mobile Equipment Identity assigned to every mobile phone by the manufacturer.
DeviceIncomingTelephoneNumber,nc:TelephoneNumberType,true,nc:DeviceReceivedInformationAbstract,A telephone number of an incoming call.
DeviceIncomingTextMessage,nc:MessageType,true,nc:DeviceReceivedInformationAbstract,A text message received by a device.
DeviceInformationAssociation,nc:DeviceInformationAssociationType,true,,"An association between a device and a message, website, binary, or other kind of information."
DeviceOutgoingTelephoneNumber,nc:TelephoneNumberType,true,nc:DeviceSentInformationAbstract,A telephone number that was dialed by a device.
DeviceOutgoingTextMessage,nc:MessageType,true,nc:DeviceSentInformationAbstract,A text message sent by a device.
DeviceReceivedEmail,nc:MessageType,true,nc:DeviceReceivedInformationAbstract,An email message received by a device.
DeviceSentEmail,nc:MessageType,true,nc:DeviceSentInformationAbstract,An email message sent from a device.
DeviceStoredAudioBinary,nc:BinaryType,true,nc:DeviceStoredInformationAbstract,An audio file stored on a device.
DeviceStoredBinary,nc:BinaryType,true,nc:DeviceStoredInformationAbstract,A binary file stored on a device.
DeviceStoredContactInformation,nc:ContactInformationType,true,nc:DeviceStoredInformationAbstract,A piece of contact information stored on a device.
DeviceStoredDocument,nc:DocumentType,true,nc:DeviceStoredInformationAbstract,A document stored on a device.
DeviceStoredImage,nc:ImageType,true,nc:DeviceStoredInformationAbstract,An image stored on a device.
DeviceStoredTelephoneNumber,nc:TelephoneNumberType,true,nc:DeviceStoredInformationAbstract,A telephone number stored in memory on a device.
DeviceStoredText,nc:TextType,true,nc:DeviceStoredInformationAbstract,A set of text that was stored on or associated with the device.
DeviceStoredVideoBinary,nc:BinaryType,true,nc:DeviceStoredInformationAbstract,A video file stored on a device.
DeviceUser,nc:PersonType,true,,A person who uses a device.
DeviceVisitedWebsiteURI,niem-xs:anyURI,true,nc:DeviceVisitedInformationAbstract,A website visited by a device.
DirectDialTelephoneNetworkText,nc:TextType,true,,A network on which a shortened telephone number may be used.
DirectDialTelephoneNumber,nc:DirectDialTelephoneNumberType,true,nc:TelephoneNumberAbstract,"A telephone number consisting of a shortened sequence of numbers that can be used within a local telephone system, such as a particular network or a corporate phone system."
DirectDialTelephoneNumberID,niem-xs:string,true,,A shortened sequence of numbers that can be used in place of a full telephone number within a local calling system such as a particular network or corporate phone system.
DisciplinaryAction,nc:DisciplinaryActionType,true,,"An activity assigned to a person for the purpose of self-improvement, punishment, or restitution."
DisciplinaryActionAssigner,nc:EntityType,true,,An entity which assigns a disciplinary action to a person.
DisciplinaryActionCommunityService,nc:ActivityType,true,,A recommendation or requirement for a person to perform community service as a disciplinary action.
DisciplinaryActionCounseling,nc:ActivityType,true,,A recommendation or requirement for a person to attend counseling as a disciplinary action.
DisciplinaryActionEnforcer,nc:EntityType,true,,An entity responsible for ensuring a person performs the assigned disciplinary action.
DisciplinaryActionFee,nc:ObligationType,true,,A monetary fine assigned to a person as a disciplinary action.
DisciplinaryActionPerson,nc:PersonType,true,,A person to whom a disciplinary action is assigned.
DisciplinaryActionProgram,nc:ProgramType,true,,A recommendation or requirement for a person to attend a program as a disciplinary action.
DisciplinaryActionRestitution,nc:ObligationType,true,,A requirement for a person to financially or otherwise compensate another person as a disciplinary action.
Disposition,nc:DispositionType,true,,"A result or outcome that is the product of handling, processing, or finalizing something."
DispositionCategoryText,nc:TextType,true,nc:DispositionCategoryAbstract,A kind of disposition.
DispositionDate,nc:DateType,true,,A date a disposition occurred.
DispositionDescriptionText,nc:TextType,true,,A description of a disposition.
DispositionEntity,nc:EntityType,true,,An agency responsible for making a disposition decision.
DispositionInstrument,nc:DocumentType,true,,An official document filed to formally document the disposition of a specific charge.
DispositionReasonText,nc:TextType,true,nc:DispositionReasonAbstract,A reason for a disposition.
DispositionReportedAuthorityText,nc:TextType,true,,A name of an authority to which a disposition was reported.
DispositionText,nc:TextType,true,,A result or outcome of a disposition.
DistributionText,nc:TextType,true,,A set of allowable recipients of information; dissemination statement or instructions.
Document,nc:DocumentType,true,,A paper or electronic document.
DocumentApprovedIndicator,niem-xs:boolean,true,,True if a document has been approved; false otherwise.
DocumentAssociation,nc:DocumentAssociationType,true,,An association between documents.
DocumentAuthor,nc:EntityType,true,,An entity primarily responsible for creating the intellectual content of the resource.
DocumentBinary,nc:BinaryType,true,nc:DocumentContentAbstract,A binary encoding of the content of a document.
DocumentCategoryDescriptionText,nc:TextType,true,,A description of a kind of information in a document.
DocumentCategoryID,niem-xs:string,true,nc:DocumentCategoryAbstract,An identifier of a kind of information in a document.
DocumentCategoryName,nc:TextType,true,nc:DocumentCategoryAbstract,A name of a category of information in a document.
DocumentCategoryText,nc:TextType,true,nc:DocumentCategoryAbstract,A kind of document; a nature or genre of the content.
DocumentContentListText,nc:TextType,true,,"A list of the chapters, sections, or other divisions of a document."
DocumentContributor,nc:EntityType,true,,An entity responsible for making contributions to the content of the resource.
DocumentCopyrightIndicator,niem-xs:boolean,true,,True if a document is copyrighted; false otherwise.
DocumentCountry,nc:CountryType,true,,A country being discussed in a document.
DocumentCoverageAddress,nc:AddressType,true,nc:DocumentCoverageAbstract,An extent or scope of the content of the resource.
DocumentCoverageDate,nc:DateType,true,nc:DocumentCoverageAbstract,A date relating to an extent or scope of the content of the resource.
DocumentCoverageText,nc:TextType,true,nc:DocumentCoverageAbstract,A description of the extent or scope of the content of the resource.
DocumentCreationDate,nc:DateType,true,,A date a document was created.
DocumentDescriptionText,nc:TextType,true,,A description of the content of a document.
DocumentDispositionAuthorityName,nc:TextType,true,,A name of an authority designated to handle or process information in a document.
DocumentDispositionInstructionText,nc:TextType,true,,An instruction on how to handle or process information in a document.
DocumentDisputedIndicator,niem-xs:boolean,true,,True if the accuracy of a document is disputed; false otherwise.
DocumentDisputedReasonText,nc:TextType,true,nc:DocumentDisputedReasonAbstract,A reason why the accuracy of a document is disputed.
